name,A,B,Bprime,C,E,F,G,HPLC,BefVis,BefUVS,BefUVL,Archers,AftVis,AftUV,M,F1,F2,F3,KResult,CResult,KCResult,PDResult,Cortex,Medulla,Notes,Related,Reference,Lichens,Synonyms,Path,GroupName,Class,GLossID
Acaranoic acid,43,x,24,41,x,x,x,x,−,−,?,No Result,No Result,Lilac,298,280,252,157,No Result,No Result,No Result,No Result,?,?,Occurs in Pleopsidium chlorophanum,Acarenoic acid,"Huneck, S Höfle, G 1980: Structure of acaranoic and acarenoic acids, Phytochemistry 19: 2713-2715.",,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic acids,
Acarenoic acid,40,x,20,36,x,x,x,30,−,−,?,No Result,No Result,Lilac,296,278,260,252,No Result,No Result,No Result,No Result,?,?,Occurs in Pleopsidium chlorophanum,Acaranoic acid,"Huneck, S Höfle, G 1980: Structure of acaranoic and acarenoic acids, Phytochemistry 19: 2713-2715.",,,acetyl-polymalonyl pathway,aliphatic acids & aliphatic compounds,aliphatic acids,
"3β-Acetoxy-20,24-epoxydammarane-12β,25-diol [3-O-Acetylpyxinol]",x,x,x,47,27,x,52,x,−,−,?,x,Purple,Green,-1,503,500,485,No Result,No Result,No Result,No Result,?,?,Occurs in Pyxine endochrysina,"3β,25-Diacetoxy-20,24-epoxydammarane, 3β,25-Diacetoxy-20,24-epoxydammarane-12β-ol, 20,24-Epoxydammarane-3β,12β,25-triol, Methyl 3-O-acetoxypyxinate, Methylpyxinate","Yosioka, I Yamauchi, H Kitagawa, I 1972: Lichen triterpenoids. V. On the neutral triterpenes of βendochrysina Nyl., Chemical and Parmaceutical Bulletin (Tokyo) 20: 502-513.",,3-O-Acetylpyxinol,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"25-Acetoxy-20,24-epoxydammarane-3β-ol",x,x,x,52,45,x,73,x,−,−,?,x,Brown,Green,502,487,442,398,No Result,No Result,No Result,No Result,?,?,Occurs in Pyxine coccifera,"25-Acetoxy-20,24-epoxydammarane-3-one, Methyl pyxinate","Huneck, S 1976: Inhaltsstoffe von Pyxine coccifera, Phytochemistry 15: 799-801.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
"25-Acetoxy-20,24-epoxydammarane-3-one",x,x,x,52,45,x,88,x,−,−,?,x,Purple,Green,500,485,467,425,No Result,No Result,No Result,No Result,?,?,Occurs in Pyxine coccifera,"25-Acetoxy-20,24-epoxydammarane-3β-ol, Methyl pyxinate","Huneck, S 1976: Inhaltsstoffe von Pyxine coccifera, Phytochemistry 15: 799-801.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
3β-Acetoxyfern-9(11)-ene-12β-ol,69,x,65,41,53,x,89,x,−,−,?,x,P. Brown,P.Yellow,484,466,451,273,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale yellow-brown. LW UV: pale yellow, white halo. Occurs in Pseudocyphellaria aurata","3β-Acetoxyfern-9(11)-ene-19β-ol, 12α-Acetoxyfern-9(11)-ene-3β-ol, 3β-Acetoxyfern-9(11)-ene-12-one, Fern-9(11)-ene-3,12-dione, Fern-9(11)-ene-3β,12α-diol, 3β-Hydroxyfern-9(11)-ene-12-one","Wilkins, AL Elix, JA 1990: New fernene triterpenes from the lichen Pseudocyphellaria aurata:Australian Journal of Chemistry 43: 623-627.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
3β-Acetoxyfern-9(11)-ene-19β-ol,60,x,60,56,48,x,80,x,−,−,?,x,Brown,Orange,484,469,451,409,No Result,No Result,No Result,No Result,?,?,"Acid Spray: fades to purple. LW UV: brown, orange halo. Occurs in Pseudocyphellaria aurata, Pyxineberteriana","3β-Acetoxyfern-9(11)-ene-12β-ol, 12α-Acetoxyfern-9(11)-ene-3β-ol, 3β-Acetoxyfern-9(11)-ene-12-one, Fern-9(11)-ene-3,12-dione, Fern-9(11)-ene-3β,12α-diol, 3β-Hydoxyfern-9(11)-ene-12-one","Wilkins, AL Elix, JA 1990: New fernene triterpenes from the lichen Pseudocyphellaria aurata:Australian Journal of Chemistry 43: 623-627.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
12α-Acetoxyfern-9(11)-ene-3β-ol,55,x,49,45,27,x,60,x,−,−,?,x,Brown,Orange,484,442,424,391,No Result,No Result,No Result,No Result,?,?,"Acid Spray: fades to purple. LW UV: brown, orange halo. Occurs in Xanthoria resendei","Fern-9(11)-ene-3,12-dione, Fern-9(11)-ene-3β,12α-diol","Gonzales, AG Martin, LD, Pérez, C 1974: Three new triterpenes from the lichen Xanthoria resendei:Phytochemistry 13: 1547-1549.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
3β-Acetoxyfern-9(11)-ene-12-one,72,x,64,56,66,x,39,x,−,−,?,x,P. Brown,P.Yellow,482,467,397,271,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale yellow-brown. LW UV: pale yellow, white halo. Occurs in Pseudocyphellaria aurata","3β-Acetoxyfern-9(11)-ene-12β-ol, 3β-Acetoxyfern-9(11)-ene-19β-ol,12α-Acetoxyfern-9(11)-ene-3β-ol, Fern-9(11)-ene-3,12-dione, Fern-9(11)-ene-3β,12α-diol, 3β-Hydroxyfern-9(11)-ene-12-one","Wilkins, AL Elix, JA 1990: New fernene triterpenes from the lichen Pseudocyphellaria aurata:Australian Journal of Chemistry 43: 623-627.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
3β-Acetoxyfern-9(11)-ene-19-one,70,x,x,60,x,x,x,x,−,−,?,x,Brown,P.Yellow,482,467,407,x,No Result,No Result,No Result,No Result,?,?,Occurs in Pyxine berteriana,"3β-Acetoxyfern-9(11)-ene-19β-ol, Fern-9(11)-ene-3.19-dione","Maier, MS Rosso, ML Fazio, AT Adler, MT Bertoni, MD 2009. Fernene triterpenoids from thelichen Pyxine berteriana. Journal of Natural Products 72: 1902-1904.",,,mevalonic acid pathway,terpenoids & steroids,terpenoids,
