species;substances;substancess_reference;family;family_reference
Acanthothecis abaphoides;protocetraric acid;lias;Graphidaceae;gbif
Acanthothecis africana;norstictic acid;lias;Graphidaceae;gbif
Acanthothecis aurantiaca;connorstictic acid, norstictic acid, stictic acid;lias;Graphidaceae;gbif
Acanthothecis borealis;protocetraric acid;lias;Graphidaceae;gbif
Acanthothecis coccinea;norstictic acid;lias;Graphidaceae;gbif
Acanthothecis collateralis;norstictic acid, stictic acid;lias;Graphidaceae;gbif
Acanthothecis dialeuca;constictic acid, stictic acid;lias;Graphidaceae;gbif
Acanthothecis gyridia;stictic acid;lias;Graphidaceae;gbif
Acanthothecis kalbii;norstictic acid;lias;Graphidaceae;gbif
Acanthothecis nivalis;psoromic acid;lias;Graphidaceae;gbif
Acanthothecis pruinocarpa;stictic acid;lias;Graphidaceae;gbif
Acanthothecis socotrina;norstictic acid;lias;Graphidaceae;gbif
Acanthothecis subaggregans;norstictic acid;lias;Graphidaceae;gbif
Acanthothecis subclavulifera;protocetraric acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Acanthothecis tetraphora;norstictic acid;lias;Graphidaceae;gbif
Acarospora affinis;acaranoic acid, hypoprotocetraric acid, rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora brattiae;norstictic acid;lias;Acarosporaceae;gbif
Acarospora brouardii;rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora bullata;gyrophoric acid;italic;Acarosporaceae;gbif
Acarospora bullata;gyrophoric acid;lias;Acarosporaceae;gbif
Acarospora calcarea;connorstictic acid, epanorin, gyrophoric acid, norstictic acid, rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora chrysocardia;rhizocarpic acid;italic;Acarosporaceae;gbif
Acarospora chrysops;epanorin, rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora contigua;pulvinic acid;lias;Acarosporaceae;gbif
Acarospora epilutescens;rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora episulphurata;gyrophoric acid;italic;Acarosporaceae;gbif
Acarospora epithallina;rhizocarpic acid;italic;Acarosporaceae;gbif
Acarospora erythrophora;epanorin, gyrophoric acid, lecanoric acid, rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora flavisparsa;epanorin;italic;Acarosporaceae;gbif
Acarospora flavisparsa;epanorin, rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora fuscata;gyrophoric acid, lecanoric acid;lias;Acarosporaceae;gbif
Acarospora gallica;gyrophoric acid, lecanoric acid;lias;Acarosporaceae;gbif
Acarospora gypsi-deserti;rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora heufleriana;norstictic acid, rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora hilaris;epanorin;italic;Acarosporaceae;gbif
Acarospora interspersa;gyrophoric acid, lecanoric acid, methyl lecanorate;lias;Acarosporaceae;gbif
Acarospora janae;gyrophoric acid;lias;Acarosporaceae;gbif
Acarospora lavicola;rhizocarpic acid;italic;Acarosporaceae;gbif
Acarospora marcii;gyrophoric acid;italic;Acarosporaceae;gbif
Acarospora nevadensis;gyrophoric acid;lias;Acarosporaceae;gbif
Acarospora nicolai;gyrophoric acid;lias;Acarosporaceae;gbif
Acarospora nodulosa;norstictic acid;lias;Acarosporaceae;gbif
Acarospora novomexicana;epanorin, rhizocarpic acid, vulpinic acid;lias;Acarosporaceae;gbif
Acarospora obpallens;gyrophoric acid, lecanoric acid, methyl lecanorate;lias;Acarosporaceae;gbif
Acarospora oligyrophorica;gyrophoric acid;lias;Acarosporaceae;gbif
Acarospora paupera;norstictic acid;lias;Acarosporaceae;gbif
Acarospora peliscypha;gyrophoric acid;lias;Acarosporaceae;gbif
Acarospora pseudofuscata;gyrophoric acid, lecanoric acid;lias;Acarosporaceae;gbif
Acarospora ramosa;gyrophoric acid, lecanoric acid, rhizocarpic acid, unknown/unidentified compound(s);lias;Acarosporaceae;gbif
Acarospora rhabarbarina;epanorin, rhizocarpic acid, vulpinic acid;lias;Acarosporaceae;gbif
Acarospora robiniae;acaranoic acid, gyrophoric acid, ovoic acid, rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora rosulata;gyrophoric acid;italic;Acarosporaceae;gbif
Acarospora rouxii;connorstictic acid, epanorin, gyrophoric acid, norstictic acid, rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora rugulosa;gyrophoric acid;italic;Acarosporaceae;gbif
Acarospora schleicheri;rhizocarpic acid;italic;Acarosporaceae;gbif
Acarospora schleicheri;rhizocarpic acid;lias;Acarosporaceae;gbif
Acarospora smaragdula;norstictic acid;lias;Acarosporaceae;gbif
Acarospora socialis;epanorin, rhizocarpic acid;lias;Acarosporaceae;gbif
